Fund,Company Name,Deployment Address,Deployment City,Deployment State,Deployment ZIP Code,Locations Deployed,Download/Upload Speed Tier,Deployment Year,Census Block,Latitude,Longitude,SAC
CAF II,"CENTURYLINK, INC.",21 WORKMAN CT,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650202001022,37.933514,-78.191969,190567
CAF II,"CENTURYLINK, INC.",1410 BLAIR PARK RD,CROZET,VA,22932,1,10 Mbps/1 Mbps,2016,510030112011024,38.078097,-78.739917,190567
CAF II,"CENTURYLINK, INC.",4430 BROWNS GAP TPKE,CROZET,VA,22932,1,10 Mbps/1 Mbps,2016,510030101002115,38.16961,-78.674816,190567
CAF II,"CENTURYLINK, INC.",650 MAXFIELD RD,KESWICK,VA,22947,1,10 Mbps/1 Mbps,2015,510030104012055,38.053347,-78.307691,190567
CAF II,"CENTURYLINK, INC.",265 OAK CREEK RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2016,510650202001082,37.854274,-78.238839,190567
CAF II,"CENTURYLINK, INC.",5503 MURRAYS LN,COVESVILLE,VA,22931,1,10 Mbps/1 Mbps,2015,510030112022077,37.904212,-78.690543,190567
CAF II,"CENTURYLINK, INC.",3631 CEDAR LANE RD,KENTS STORE,VA,23084,1,10 Mbps/1 Mbps,2016,510650202002008,37.866771,-78.142468,190567
CAF II,"CENTURYLINK, INC.",2874 JAMES MADISON HWY,BREMO BLUFF,VA,23022,1,10 Mbps/1 Mbps,2016,510650202004021,37.749153,-78.286928,190567
CAF II,"CENTURYLINK, INC.",3668 IRISH RD,ESMONT,VA,22937,1,10 Mbps/1 Mbps,2016,510030114001050,37.827252,-78.62983,190567
CAF II,"CENTURYLINK, INC.",3630 BROWNS GAP TPKE,CROZET,VA,22932,1,10 Mbps/1 Mbps,2016,510030101002131,38.14201,-78.668306,190567
CAF II,"CENTURYLINK, INC.",5428 SUGAR RIDGE RD,CROZET,VA,22932,1,10 Mbps/1 Mbps,2016,510030101002024,38.132197,-78.689724,190567
CAF II,"CENTURYLINK, INC.",694 NAHOR MANOR RD,PALMYRA,VA,22963,1,10 Mbps/1 Mbps,2017,510650203001003,37.907125,-78.35965,190567
CAF II,"CENTURYLINK, INC.",5232 BLENHEIM RD,CHARLOTTESVILLE,VA,22902,1,10 Mbps/1 Mbps,2017,510030113014006,37.886557,-78.502008,190567
CAF II,"CENTURYLINK, INC.",APPROXIMATELY 0.2 MILES N OF PINE HILL DR & ELWOOD DR,STANARDSVILLE,VA,22973,1,10 Mbps/1 Mbps,2017,510790301011051,38.3547,-78.458785,190567
CAF II,"CENTURYLINK, INC.",267 S KESWICK DR,TROY,VA,22974,1,10 Mbps/1 Mbps,2017,510650201013023,37.963039,-78.333062,190567
CAF II,"CENTURYLINK, INC.",2330 HOMESTEAD FARM RD,FREE UNION,VA,22940,2,10 Mbps/1 Mbps,2017,510030101003001,38.165497,-78.580532,190567
CAF II,"CENTURYLINK, INC.",377 GLENDOWER RD,SCOTTSVILLE,VA,24590,1,10 Mbps/1 Mbps,2017,510030113014068,37.858374,-78.515141,190567
CAF II,"CENTURYLINK, INC.",LESS THAN 0.1 MILES S OF IN RD & CELT RD,STANARDSVILLE,VA,22973,3,10 Mbps/1 Mbps,2017,510790301024029,38.286825,-78.440495,190567
CAF II,"CENTURYLINK, INC.",4360 PIGEON TOP TRL,CROZET,VA,22932,1,10 Mbps/1 Mbps,2017,510030101002100,38.137293,-78.652751,190567
